Season,Team,Wins,Losses,Defensive_Rating,Three_Point_Percentage,MadePlayoffs
2018-19,Atlanta Hawks,29,53,120.2,35,0
2018-19,Boston Celtics,49,33,109.4,36.5,1
2018-19,Brooklyn Nets,42,40,113.5,35.2,1
2018-19,Charlotte Hornets,39,43,114.3,35,0
2018-19,Chicago Bulls,22,60,116.1,35.3,0
2018-19,Cleveland Cavaliers,19,63,119.2,35.1,0
2018-19,Dallas Mavericks,33,49,113.2,34,0
2018-19,Denver Nuggets,54,28,109.7,35.4,1
2018-19,Detroit Pistons,41,41,111.3,34.8,1
2018-19,Golden State Warriors,57,25,112.2,38.5,1
2018-19,Houston Rockets,53,29,111.8,35.6,1
2018-19,Indiana Pacers,48,34,107.8,37.1,1
2018-19,LA Clippers,48,34,117.1,38,1
2018-19,LA Lakers,37,45,114.9,33.3,0
2018-19,Memphis Grizzlies,33,49,110.3,34.5,0
2018-19,Miami Heat,39,43,108.9,34.9,0
2018-19,Milwaukee Bucks,60,22,108.6,35.3,1
2018-19,Minnesota Timberwolves,36,46,115.6,35.1,0
2018-19,New Orleans Pelicans,33,49,117.8,35.1,0
2018-19,New York Knicks,17,65,118.5,34.3,0
2018-19,Oklahoma City Thunder,49,33,112.2,34.8,1
2018-19,Orlando Magic,42,40,110.5,35.2,1
2018-19,Philadelphia 76ers,51,31,113.9,35.8,1
2018-19,Phoenix Suns,19,63,120.3,33.5,0
2018-19,Portland Trail Blazers,53,29,112,35.9,1
2018-19,Sacramento Kings,39,43,118.6,37,0
2018-19,San Antonio Spurs,48,34,112.4,39.2,1
2018-19,Toronto Raptors,58,24,109.4,36.6,1
2018-19,Utah Jazz,50,32,108.5,35.5,1
2018-19,Washington Wizards,32,50,119.7,34.4,0
2019-20,Atlanta Hawks,20,47,119.2,33.3,0
2019-20,Boston Celtics,48,24,108.9,36.4,1
2019-20,Brooklyn Nets,35,37,113.6,34.3,1
2019-20,Charlotte Hornets,23,42,114.7,34.4,0
2019-20,Chicago Bulls,22,43,112.6,34.8,0
2019-20,Cleveland Cavaliers,19,46,116.6,34.9,0
2019-20,Dallas Mavericks,43,32,112.9,36.7,1
2019-20,Denver Nuggets,46,27,110.6,35.9,1
2019-20,Detroit Pistons,20,46,113.3,35.4,0
2019-20,Golden State Warriors,15,50,116.8,33.4,0
2019-20,Houston Rockets,44,28,114.2,34.9,1
2019-20,Indiana Pacers,45,28,109.4,36.3,1
2019-20,LA Clippers,49,23,111.1,36.6,1
2019-20,LA Lakers,52,19,108.9,34.9,1
2019-20,Memphis Grizzlies,34,39,113.9,34.7,0
2019-20,Miami Heat,44,29,110.6,37.2,1
2019-20,Milwaukee Bucks,56,17,109.7,35.5,1
2019-20,Minnesota Timberwolves,19,45,118.3,33.6,0
2019-20,New Orleans Pelicans,30,42,118.1,36.2,0
2019-20,New York Knicks,21,45,115.1,33.7,0
2019-20,Oklahoma City Thunder,44,28,111.5,35.5,1
2019-20,Orlando Magic,33,40,110.8,34.3,1
2019-20,Philadelphia 76ers,43,30,110.2,36,1
2019-20,Phoenix Suns,34,39,115.7,34.8,0
2019-20,Portland Trail Blazers,35,39,118.5,37.3,1
2019-20,Sacramento Kings,31,41,114.8,35.6,0
2019-20,San Antonio Spurs,32,39,116.3,36,0
2019-20,Toronto Raptors,53,19,108.4,37.1,1
2019-20,Utah Jazz,44,28,110.4,37.7,1
2019-20,Washington Wizards,25,47,121.3,34.7,0
2020-21,Atlanta Hawks,41,31,112.5,37.3,1
2020-21,Boston Celtics,36,36,112.5,37.4,1
2020-21,Brooklyn Nets,48,24,117.3,39.2,1
2020-21,Charlotte Hornets,33,39,115.2,37.7,0
2020-21,Chicago Bulls,31,41,114.4,36.9,0
2020-21,Cleveland Cavaliers,22,50,117.5,34.3,0
2020-21,Dallas Mavericks,42,30,114,36.1,1
2020-21,Denver Nuggets,47,25,113.5,37.8,1
